REF_DATE,GEO,DGUID,"Sales, price and volume",North American Industry Classification System (NAICS),UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
Sep-19,Canada,2016A000011124,Wholesale sales in current prices,Wholesale trade [41],Dollars,81,millions,6,v120586537,1.1.1,64305,A,,,0
Sep-19,Canada,2016A000011124,Wholesale sales Chained Fisher volume index (scaled to equal 100 in 2012),Wholesale trade [41],Dollars,81,millions,6,v120586538,1.2.1,58605,A,,,0
Sep-19,Canada,2016A000011124,Fisher Chained Price Index (scaled to equal 100 in 2012),Wholesale trade [41],Index,160,units,0,v120586539,1.3.1,109.7,A,,,1
Sep-19,Canada,2016A000011124,Wholesale sales at 2012 constant prices (Unchained Laspeyres Index),Wholesale trade [41],Dollars,81,millions,6,v120586540,1.4.1,59001,A,,,0
Sep-19,Canada,2016A000011124,Wholesale sales at 2012 constant prices (Unchained Laspeyres Index),Farm product merchant wholesalers [411],Dollars,81,millions,6,v120848108,1.4.2,1119,A,,,0
Sep-19,Canada,2016A000011124,Wholesale sales at 2012 constant prices (Unchained Laspeyres Index),"Food, beverage and tobacco merchant wholesalers [413]",Dollars,81,millions,6,v120848109,1.4.3,9848,A,,,0
Sep-19,Canada,2016A000011124,Wholesale sales at 2012 constant prices (Unchained Laspeyres Index),Food merchant wholesalers [4131],Dollars,81,millions,6,v120848110,1.4.4,8745,A,,,0
Sep-19,Canada,2016A000011124,Wholesale sales at 2012 constant prices (Unchained Laspeyres Index),Beverage merchant wholesalers [4132],Dollars,81,millions,6,v120848111,1.4.5,666,A,,,0
Sep-19,Canada,2016A000011124,Wholesale sales at 2012 constant prices (Unchained Laspeyres Index),Cigarette and tobacco product merchant wholesalers [4133],Dollars,81,millions,6,v120848112,1.4.6,366,A,,,0
Sep-19,Canada,2016A000011124,Wholesale sales at 2012 constant prices (Unchained Laspeyres Index),Cannabis merchant wholesalers [4134],Dollars,81,millions,6,v1203708590,1.4.34,72,C,,,0
Sep-19,Canada,2016A000011124,Wholesale sales at 2012 constant prices (Unchained Laspeyres Index),Personal and household goods merchant wholesalers [414],Dollars,81,millions,6,v120848113,1.4.7,9356,A,,,0
Sep-19,Canada,2016A000011124,Wholesale sales at 2012 constant prices (Unchained Laspeyres Index),"Textile, clothing and footwear merchant wholesalers [4141]",Dollars,81,millions,6,v120848114,1.4.8,1270,B,,,0
Sep-19,Canada,2016A000011124,Wholesale sales at 2012 constant prices (Unchained Laspeyres Index),Home entertainment equipment and household appliance merchant wholesalers [4142],Dollars,81,millions,6,v120848115,1.4.9,814,A,,,0
Sep-19,Canada,2016A000011124,Wholesale sales at 2012 constant prices (Unchained Laspeyres Index),Home furnishings merchant wholesalers [4143],Dollars,81,millions,6,v120848116,1.4.10,587,A,,,0
Sep-19,Canada,2016A000011124,Wholesale sales at 2012 constant prices (Unchained Laspeyres Index),Personal goods merchant wholesalers [4144],Dollars,81,millions,6,v120848117,1.4.11,896,B,,,0
Sep-19,Canada,2016A000011124,Wholesale sales at 2012 constant prices (Unchained Laspeyres Index),"Pharmaceuticals, toiletries, cosmetics and sundries merchant wholesalers [4145]",Dollars,81,millions,6,v120848118,1.4.12,5789,A,,,0
Sep-19,Canada,2016A000011124,Wholesale sales at 2012 constant prices (Unchained Laspeyres Index),Pharmaceuticals and pharmacy supplies merchant wholesalers [41451],Dollars,81,millions,6,v120848119,1.4.13,4847,A,,,0
Sep-19,Canada,2016A000011124,Wholesale sales at 2012 constant prices (Unchained Laspeyres Index),"Toiletries, cosmetics and sundries merchant wholesalers [41452]",Dollars,81,millions,6,v120848120,1.4.14,942,A,,,0
Sep-19,Canada,2016A000011124,Wholesale sales at 2012 constant prices (Unchained Laspeyres Index),Motor vehicle and motor vehicle parts and accessories merchant wholesalers  [415],Dollars,81,millions,6,v120848121,1.4.15,9570,A,,,0
Sep-19,Canada,2016A000011124,Wholesale sales at 2012 constant prices (Unchained Laspeyres Index),Motor vehicle merchant wholesalers [4151],Dollars,81,millions,6,v120848122,1.4.16,7439,A,,,0
Sep-19,Canada,2016A000011124,Wholesale sales at 2012 constant prices (Unchained Laspeyres Index),New motor vehicle parts and accessories merchant wholesalers [4152],Dollars,81,millions,6,v120848123,1.4.17,2065,A,,,0
Sep-19,Canada,2016A000011124,Wholesale sales at 2012 constant prices (Unchained Laspeyres Index),Used motor vehicle parts and accessories merchant wholesalers [4153],Dollars,81,millions,6,v120848124,1.4.18,67,B,,,0
Sep-19,Canada,2016A000011124,Wholesale sales at 2012 constant prices (Unchained Laspeyres Index),Building material and supplies merchant wholesalers [416],Dollars,81,millions,6,v120848125,1.4.19,7974,A,,,0
Sep-19,Canada,2016A000011124,Wholesale sales at 2012 constant prices (Unchained Laspeyres Index),"Electrical, plumbing, heating and air-conditioning equipment and supplies merchant wholesalers [4161]",Dollars,81,millions,6,v120848126,1.4.20,2386,A,,,0
Sep-19,Canada,2016A000011124,Wholesale sales at 2012 constant prices (Unchained Laspeyres Index),Metal service centres [4162],Dollars,81,millions,6,v120848127,1.4.21,1602,A,,,0
Sep-19,Canada,2016A000011124,Wholesale sales at 2012 constant prices (Unchained Laspeyres Index),"Lumber, millwork, hardware and other building supplies merchant wholesalers [4163]",Dollars,81,millions,6,v120848128,1.4.22,3987,A,,,0
Sep-19,Canada,2016A000011124,Wholesale sales at 2012 constant prices (Unchained Laspeyres Index),"Machinery, equipment and supplies merchant wholesalers [417]",Dollars,81,millions,6,v120848129,1.4.23,12680,A,,,0
Sep-19,Canada,2016A000011124,Wholesale sales at 2012 constant prices (Unchained Laspeyres Index),"Farm, lawn and garden machinery and equipment merchant wholesalers [4171]",Dollars,81,millions,6,v120848130,1.4.24,1463,A,,,0
Sep-19,Canada,2016A000011124,Wholesale sales at 2012 constant prices (Unchained Laspeyres Index),"Construction, forestry, mining, and industrial machinery, equipment and supplies merchant wholesalers [4172]",Dollars,81,millions,6,v120848131,1.4.25,3665,A,,,0
Sep-19,Canada,2016A000011124,Wholesale sales at 2012 constant prices (Unchained Laspeyres Index),Computer and communications equipment and supplies merchant wholesalers [4173],Dollars,81,millions,6,v120848132,1.4.26,4413,A,,,0
Sep-19,Canada,2016A000011124,Wholesale sales at 2012 constant prices (Unchained Laspeyres Index),"Other machinery, equipment and supplies merchant wholesalers [4179]",Dollars,81,millions,6,v120848133,1.4.27,3141,B,,,0
Sep-19,Canada,2016A000011124,Wholesale sales at 2012 constant prices (Unchained Laspeyres Index),Miscellaneous merchant wholesalers [418],Dollars,81,millions,6,v120848134,1.4.28,8453,A,,,0
Sep-19,Canada,2016A000011124,Wholesale sales at 2012 constant prices (Unchained Laspeyres Index),Recyclable material merchant wholesalers [4181],Dollars,81,millions,6,v120848135,1.4.29,1123,B,,,0
Sep-19,Canada,2016A000011124,Wholesale sales at 2012 constant prices (Unchained Laspeyres Index),"Paper, paper product and disposable plastic product merchant wholesalers [4182]",Dollars,81,millions,6,v120848136,1.4.30,962,A,,,0
Sep-19,Canada,2016A000011124,Wholesale sales at 2012 constant prices (Unchained Laspeyres Index),Agricultural supplies merchant wholesalers [4183],Dollars,81,millions,6,v120848137,1.4.31,2749,A,,,0
Sep-19,Canada,2016A000011124,Wholesale sales at 2012 constant prices (Unchained Laspeyres Index),Chemical (except agricultural) and allied product merchant wholesalers [4184],Dollars,81,millions,6,v120848138,1.4.32,1421,A,,,0
Sep-19,Canada,2016A000011124,Wholesale sales at 2012 constant prices (Unchained Laspeyres Index),Other miscellaneous merchant wholesalers [4189],Dollars,81,millions,6,v120848139,1.4.33,2198,A,,,0
Oct-19,Canada,2016A000011124,Wholesale sales in current prices,Wholesale trade [41],Dollars,81,millions,6,v120586537,1.1.1,63429,A,,,0
Oct-19,Canada,2016A000011124,Wholesale sales Chained Fisher volume index (scaled to equal 100 in 2012),Wholesale trade [41],Dollars,81,millions,6,v120586538,1.2.1,57913,A,,,0
Oct-19,Canada,2016A000011124,Fisher Chained Price Index (scaled to equal 100 in 2012),Wholesale trade [41],Index,160,units,0,v120586539,1.3.1,109.5,A,,,1
Oct-19,Canada,2016A000011124,Wholesale sales at 2012 constant prices (Unchained Laspeyres Index),Wholesale trade [41],Dollars,81,millions,6,v120586540,1.4.1,58247,A,,,0
Oct-19,Canada,2016A000011124,Wholesale sales at 2012 constant prices (Unchained Laspeyres Index),Farm product merchant wholesalers [411],Dollars,81,millions,6,v120848108,1.4.2,1117,A,,,0
Oct-19,Canada,2016A000011124,Wholesale sales at 2012 constant prices (Unchained Laspeyres Index),"Food, beverage and tobacco merchant wholesalers [413]",Dollars,81,millions,6,v120848109,1.4.3,9853,A,,,0
Oct-19,Canada,2016A000011124,Wholesale sales at 2012 constant prices (Unchained Laspeyres Index),Food merchant wholesalers [4131],Dollars,81,millions,6,v120848110,1.4.4,8793,A,,,0
Oct-19,Canada,2016A000011124,Wholesale sales at 2012 constant prices (Unchained Laspeyres Index),Beverage merchant wholesalers [4132],Dollars,81,millions,6,v120848111,1.4.5,617,A,,,0
Oct-19,Canada,2016A000011124,Wholesale sales at 2012 constant prices (Unchained Laspeyres Index),Cigarette and tobacco product merchant wholesalers [4133],Dollars,81,millions,6,v120848112,1.4.6,371,A,,,0
Oct-19,Canada,2016A000011124,Wholesale sales at 2012 constant prices (Unchained Laspeyres Index),Cannabis merchant wholesalers [4134],Dollars,81,millions,6,v1203708590,1.4.34,72,C,,,0
Oct-19,Canada,2016A000011124,Wholesale sales at 2012 constant prices (Unchained Laspeyres Index),Personal and household goods merchant wholesalers [414],Dollars,81,millions,6,v120848113,1.4.7,9387,A,,,0
Oct-19,Canada,2016A000011124,Wholesale sales at 2012 constant prices (Unchained Laspeyres Index),"Textile, clothing and footwear merchant wholesalers [4141]",Dollars,81,millions,6,v120848114,1.4.8,1229,B,,,0
Oct-19,Canada,2016A000011124,Wholesale sales at 2012 constant prices (Unchained Laspeyres Index),Home entertainment equipment and household appliance merchant wholesalers [4142],Dollars,81,millions,6,v120848115,1.4.9,806,A,,,0
Oct-19,Canada,2016A000011124,Wholesale sales at 2012 constant prices (Unchained Laspeyres Index),Home furnishings merchant wholesalers [4143],Dollars,81,millions,6,v120848116,1.4.10,569,B,,,0
Oct-19,Canada,2016A000011124,Wholesale sales at 2012 constant prices (Unchained Laspeyres Index),Personal goods merchant wholesalers [4144],Dollars,81,millions,6,v120848117,1.4.11,856,A,,,0
Oct-19,Canada,2016A000011124,Wholesale sales at 2012 constant prices (Unchained Laspeyres Index),"Pharmaceuticals, toiletries, cosmetics and sundries merchant wholesalers [4145]",Dollars,81,millions,6,v120848118,1.4.12,5928,A,,,0
Oct-19,Canada,2016A000011124,Wholesale sales at 2012 constant prices (Unchained Laspeyres Index),Pharmaceuticals and pharmacy supplies merchant wholesalers [41451],Dollars,81,millions,6,v120848119,1.4.13,4975,A,,,0
Oct-19,Canada,2016A000011124,Wholesale sales at 2012 constant prices (Unchained Laspeyres Index),"Toiletries, cosmetics and sundries merchant wholesalers [41452]",Dollars,81,millions,6,v120848120,1.4.14,953,A,,,0
Oct-19,Canada,2016A000011124,Wholesale sales at 2012 constant prices (Unchained Laspeyres Index),Motor vehicle and motor vehicle parts and accessories merchant wholesalers  [415],Dollars,81,millions,6,v120848121,1.4.15,9529,A,,,0
Oct-19,Canada,2016A000011124,Wholesale sales at 2012 constant prices (Unchained Laspeyres Index),Motor vehicle merchant wholesalers [4151],Dollars,81,millions,6,v120848122,1.4.16,7460,A,,,0
Oct-19,Canada,2016A000011124,Wholesale sales at 2012 constant prices (Unchained Laspeyres Index),New motor vehicle parts and accessories merchant wholesalers [4152],Dollars,81,millions,6,v120848123,1.4.17,1987,A,,,0
Oct-19,Canada,2016A000011124,Wholesale sales at 2012 constant prices (Unchained Laspeyres Index),Used motor vehicle parts and accessories merchant wholesalers [4153],Dollars,81,millions,6,v120848124,1.4.18,82,B,,,0
Oct-19,Canada,2016A000011124,Wholesale sales at 2012 constant prices (Unchained Laspeyres Index),Building material and supplies merchant wholesalers [416],Dollars,81,millions,6,v120848125,1.4.19,7922,A,,,0
Oct-19,Canada,2016A000011124,Wholesale sales at 2012 constant prices (Unchained Laspeyres Index),"Electrical, plumbing, heating and air-conditioning equipment and supplies merchant wholesalers [4161]",Dollars,81,millions,6,v120848126,1.4.20,2402,A,,,0
Oct-19,Canada,2016A000011124,Wholesale sales at 2012 constant prices (Unchained Laspeyres Index),Metal service centres [4162],Dollars,81,millions,6,v120848127,1.4.21,1597,A,,,0
Oct-19,Canada,2016A000011124,Wholesale sales at 2012 constant prices (Unchained Laspeyres Index),"Lumber, millwork, hardware and other building supplies merchant wholesalers [4163]",Dollars,81,millions,6,v120848128,1.4.22,3923,A,,,0
